Card Name,Card ID,Card URL,Card Rarity,Card Edition,Card Condition,Quantity,Original Buying Price Per Card,Original Total Price
Manticore of Darkness,IOC-067,https://beta.trollandtoad.com/yugioh/invasion-of-chaos-ioc-unlimited-singles/manticore-of-darkness-ioc-067-ultra-rare-unlimited/1155511,Ultra Rare,Unlimited,Near Mint,1,1.39,1.39
Icarus Attack,WIRA-EN058,https://beta.trollandtoad.com/yugioh/wing-raiders-1st-edition-singles/icarus-attack-wira-en058-super-rare-1st-edition/1089804,Super Rare,1st Edition,Near Mint,1,0.69,0.69
Gilford the Lightning,CT2-EN001,https://beta.trollandtoad.com/yugioh/yu-gi-oh-promo-cards/gilford-the-lightning-ct2-en001-secret-rare/139757,Secret Rare,Limited,Near Mint,1,4.39,4.39
Baby Dragon,LCJW-EN006,https://beta.trollandtoad.com/yugioh/legendary-collection-4-joey-s-world-lcjw-/baby-dragon-lcjw-en006-super-rare/1045876,Super Rare,1st Edition,Near Mint,1,0.69,0.69
Release Restraint,SD5-EN032,https://beta.trollandtoad.com/yugioh/structure-deck-warrior-s-triumph-1st-edition-singles/release-restraint-sd5-en032-common-1st-edition/177119,Common,1st Edition,Near Mint,1,0.35,0.35
Gaia The Fierce Knight,LCYW-EN002,https://beta.trollandtoad.com/yugioh/legendary-collection-3-yugi-s-world-1st-edition-singles/gaia-the-fierce-knight-lcyw-en002-super-rare-1st-edition/819317,Super Rare,1st Edition,Near Mint,1,1.69,1.69
Lord Gaia the Fierce Knight,MVP1-ENG50,https://beta.trollandtoad.com/yugioh/the-dark-side-of-dimensions-movie-pack-gold-edition-1st-ed-singles/lord-gaia-the-fierce-knight-mvp1-eng50-gold-rare-1st-edition/1109551,Gold Rare,1st Edition,Near Mint,1,0.49,0.49
Kaiser Glider,DCR-051,https://beta.trollandtoad.com/yugioh/dark-crisis-dcr-1st-edition-singles/kaiser-glider-dcr-051-ultra-rare-1st-edition/131008,Ultra Rare,1st Edition,Near Mint,1,2.99,2.99
Gearfried the Swordmaster,FET-EN022,https://beta.trollandtoad.com/yugioh/flaming-eternity-fet-unlimited-singles/ultimate-rare-gearfried-the-swordmaster-fet-en022-unlimited/1155016,Ultimate Rare,Unlimited,Near Mint,1,10.49,10.49
Perfect Machine King,RDS-EN012,https://beta.trollandtoad.com/yugioh/rise-of-destiny-rds-unlimited-singles/perfect-machine-king-rds-en012-ultra-rare-unlimited/1156913,Ultra Rare,Unlimited,Near Mint,1,9.99,9.99
The End of Anubis,AST-000,https://beta.trollandtoad.com/yugioh/ancient-sanctuary-ast-1st-edition-singles/the-end-of-anubis-ast-000-secret-rare-1st-edition/131896,Secret Rare,1st Edition,Played,1,3.89,3.89
Des Counterblow,AST-107,https://beta.trollandtoad.com/yugioh/ancient-sanctuary-ast-1st-edition-singles/des-counterblow-ast-107-super-rare-1st-edition/130446,Super Rare,1st Edition,Near Mint,1,0.49,0.49
Trap Jammer,LCJW-EN111,https://beta.trollandtoad.com/yugioh/legendary-collection-4-joey-s-world-lcjw-/trap-jammer-lcjw-en111-secret-rare/1045981,Secret Rare,1st Edition,Near Mint,1,1.09,1.09
Dark Magician of Chaos,YGLD-ENC02,https://beta.trollandtoad.com/yugioh/yugi-s-gadget-deck-ygld-enc-/dark-magician-of-chaos-ygld-enc02-ultra-rare-1st-edition/1083546,Ultra Rare,1st Edition,Near Mint,1,1.29,1.29
Elemental Hero Bladege,YSD-EN019,https://beta.trollandtoad.com/yugioh/starter-deck-gx-2006-ysd-1st-edition-singles/elemental-hero-bladedge-ysd-en019-ultra-rare-1st-edition/177547,Ultra Rare,1st Edition,Near Mint,1,0.85,0.85
Gaia the Dragon Champion,LOB-125,https://beta.trollandtoad.com/yugioh/legend-of-blue-eyes-white-dragon-lob-unlimited-singles/gaia-the-dragon-champion-lob-125-secret-ultra-rare-unlimited/1155795,Secret Rare,Unlimited,Near Mint,1,4.98,4.98
Horus the Black Flame Dragon LV6,SOD-EN007,https://beta.trollandtoad.com/yugioh/soul-of-the-duelist-sod-unlimited-singles/ultimate-rare-horus-the-black-flame-dragon-lv6-sod-en007-unlimited/1157106,Ultimate Rare,Unlimited,Near Mint,1,13.49,13.49
Summoned Skull,DB1-EN142,https://beta.trollandtoad.com/yugioh/dark-beginning-1-db1/summoned-skull-db1-en142-super-rare/131835,Super Rare,Unlimited,Near Mint,1,3.79,3.79
Swift Gaia the Fierce Knight,DB2-EN111,https://beta.trollandtoad.com/yugioh/dark-beginning-2-db2/swift-gaia-the-fierce-knight-db2-en111-ultra-rare/139577,Ultra Rare,Unlimited,Near Mint,1,2.99,2.99
Time Wizard,MRD-065,https://beta.trollandtoad.com/yugioh/metal-raiders-mrd-unlimited-singles/time-wizard-mrd-065-ultra-rare-unlimited/1156333,Ultra Rare,Unlimited,Near Mint,1,12.99,12.99
Sacred Phoenix of Nephthys,FET-EN005,https://beta.trollandtoad.com/yugioh/flaming-eternity-fet-1st-edition-singles/sacred-phoenix-of-nephthys-fet-en005-ultra-rare-1st-edition/131629,Ultra Rare,1st Edition,Near Mint,1,8.49,8.49
Gilford the Legend,SD5-EN001,https://beta.trollandtoad.com/yugioh/structure-deck-warrior-s-triumph-1st-edition-singles/gilford-the-legend-sd5-en001-ultra-rare-1st-edition/177088,Ultra Rare,1st Edition,Near Mint,1,0.49,0.49
Dark Magician,YGLD-ENB02,https://beta.trollandtoad.com/yugioh/yugi-s-battle-city-deck-ygld-enb-/dark-magician-ygld-enb02-ultra-rare-1st-edition/1083505,Ultra Rare,1st Edition,Near Mint,1,6.49,6.49
Black Luster Soldier - Envoy of the Beginning,LCYW-EN025,https://beta.trollandtoad.com/yugioh/legendary-collection-3-yugi-s-world-1st-edition-singles/black-luster-soldier-envoy-of-the-beginning-lcyw-en025-secret-rare-1st-edition/818991,Secret Rare,1st Edition,Near Mint,1,16.99,16.99
Buster Blader,LCYW-EN020,https://beta.trollandtoad.com/yugioh/legendary-collection-3-yugi-s-world-1st-edition-singles/buster-blader-lcyw-en020-secret-rare-1st-edition/819080,Secret Rare,1st Edition,Near Mint,1,9.49,9.49
Dark Hole,DB1-EN113,https://beta.trollandtoad.com/yugioh/dark-beginning-1-db1/dark-hole-db1-en113-super-rare/130375,Super Rare,Unlimited,Near Mint,1,3.75,3.75
Lord of D.,SDK-041,https://beta.trollandtoad.com/yugioh/starter-deck-kaiba-sdk-1st-edition-singles/lord-of-d-sdk-041-super-rare-1st-edition/177319,Super Rare,1st Edition,Near Mint,1,3.49,3.49
The Flute of Summoning Dragon,SDK-042,https://beta.trollandtoad.com/yugioh/starter-deck-kaiba-sdk-1st-edition-singles/the-flute-of-summoning-dragon-sdk-042-super-rare-1st-edition/177320,Super Rare,1st Edition,Near Mint,1,3.49,3.49
Red-Eyes Darkness Dragon,SD1-EN001,https://beta.trollandtoad.com/yugioh/structure-deck-dragon-s-roar-sd1-1st-edition-singles/red-eyes-darkness-dragon-sd1-en001-ultra-rare-1st-edition/176969,Ultra Rare,1st Edition,Near Mint,1,6.29,6.29
Fusion Reserve,NECH-EN078,https://beta.trollandtoad.com/yugioh/the-new-challengers-nech-1st-edition-singles/fusion-reserve-nech-en078-ultra-rare-1st-edition/1062642,Ultra Rare,1st Edition,Near Mint,1,0.85,0.85
Elemental Hero Prisma,PGL2-EN072,https://beta.trollandtoad.com/yugioh/premium-gold-return-of-the-bling-1st-edition-singles/elemental-hero-prisma-pgl2-en072-gold-rare-1st-edition/1069984,Gold Rare,1st Edition,Near Mint,1,0.99,0.99
Thousand Dragon,MRD-143,https://beta.trollandtoad.com/yugioh/metal-raiders-mrd-unlimited-singles/thousand-dragon-mrd-143-secret-rare-unlimited/1156331,Secret Rare,Unlimited,Near Mint,1,3.98,3.98
Buster Blader the Dragon Destroyer Swordsman,BOSH-EN045,https://beta.trollandtoad.com/yugioh/breakers-of-shadow-1st-edition-singles/buster-blader-the-dragon-destroyer-swordsman-bosh-en045-secret-rare-1st-edition/1087661,Secret Rare,1st Edition,Near Mint,1,3.49,3.49
Dark Magician,SDY-006,https://beta.trollandtoad.com/yugioh/starter-deck-yugi-sdy-1st-edition-singles/dark-magician-sdy-006-ultra-rare-1st-edition/177384,Ultra Rare,Unlimited,Near Mint,1,13.99,13.99
Stardust Dragon,TDGS-EN040,https://beta.trollandtoad.com/yugioh/the-duelist-genesis-tdgs-1st-edition-singles/stardust-dragon-tdgs-en040-ultra-rare-1st-edition/225618,Ultra Rare,1st Edition,Near Mint,1,11.99,11.99
First of the Dragons,NECH-EN050,https://beta.trollandtoad.com/yugioh/the-new-challengers-nech-1st-edition-singles/first-of-the-dragons-nech-en050-super-rare-1st-edition/1062609,Super Rare,1st Edition,Near Mint,1,0.89,0.89
Meteor Black Comet Dragon,INOV-EN041,https://beta.trollandtoad.com/yugioh/invasion-vengeance-1st-edition-singles/meteor-black-comet-dragon-inov-en041-ultra-rare-1st-edition/1105730,Ultra Rare,1st Edition,Near Mint,1,8.99,8.99
Heavy Storm,LCYW-EN061,https://beta.trollandtoad.com/yugioh/legendary-collection-3-yugi-s-world-1st-edition-singles/heavy-storm-lcyw-en061-ultra-rare-1st-edition/819068,Ultra Rare,1st Edition,Near Mint,1,1.93,1.93
